Name,Type,City / Area,Address,Phone,Email,Instagram,Website,Booking Platform,Has Real Website?,Outreach Priority,Notes / Angle,Status
RIGANAILS,Nails / Brows,Riga - Centrs,Strelnieku iela 5,+371 26922200,,@riganails,,Instagram only,No,HIGH,Active IG only - no website at all.,New
Nail ID Riga,Nails,Riga - Zemgale Suburb,Kalnciema iela 9A,,,,,Fresha,No,HIGH,Riverside premium nail studio - Fresha-only.,New
nailed.it.riga,Nails,Riga - Centrs,Strelnieku iela 13,,,@nailed.it.riga,,Fresha,No,HIGH,Open 10-23 daily - Fresha-only.,New
Glamour Nails Santa,Nails,Riga - Vidzeme Suburb,Brivibas gatve 224,,,,,Fresha,No,HIGH,Manicure/pedicure/nail art - Fresha-only.,New
Nails & Pearls,Nails,Riga - Centra rajons,Marijas iela 23,,,,,Fresha,No,HIGH,Manikira studija - Fresha-only.,New
kinyanails,Nails,Riga - Old Riga,Aspazijas bulvaris 32,,,,,Fresha,No,HIGH,Cozy studio master Kintija - Fresha-only.,New
Diamond Nails Riga,Nails,Riga - Vidzeme Suburb,Braslas iela 29,,,,,Fresha,No,HIGH,Fresha-only.,New
YOULI,Nails,Riga - Centrs,Katrinas iela 16A,,,,,Fresha,No,HIGH,Fresha-only.,New
LE STUDIO,Nails / Beauty,Riga - Centra rajons,Baznicas iela 20/22,,,,,Fresha,No,HIGH,Manicure/pedicure team - Fresha-only.,New
Reussi Studio,Nails,Riga - Centra rajons,,,,,,Fresha,No,HIGH,5.0 rating (53 reviews) - Fresha-only.,New
Miami Nails,Nails,Riga - Centra rajons,,,,,,Fresha,No,HIGH,4.9 rating (944 reviews) - busy Fresha-only.,New
Podologs Agate Serzante,Pedicure / Podology,Riga - Centra rajons,Perses iela 16,,,,,Fresha,No,HIGH,Pedicure & foot-care specialist - Fresha-only.,New
Nagu Meistari,Nails / Lash-brow,Riga,,,,@nagu_meistari,,Instagram,No,HIGH,3000+ followers 24/7 booking link. No website.,New
MyNails Riga,Nails,Riga - Centrs,Krisjana Valdemara iela 45,,,@mynails_riga,,Instagram only,No,HIGH,3300+ followers IG only.,New
Lemonail Riga,Nails,Riga - Centrs,,,,@lemonail.riga,,Instagram only,No,HIGH,Small IG-only studio.,New
